transaction_id,timestamp,account_id,amount,merchant_category,country,is_flagged_fraud,anomaly_reason
TXN-00001,2024-06-01 11:30:00,ACC-110,831.99,Office Equipment,United Kingdom,0,Normal business activity
TXN-00002,2024-06-01 14:00:00,ACC-108,251.56,Cloud Hosting,France,0,Normal business activity
TXN-00003,2024-06-01 16:30:00,ACC-119,800.64,Cloud Hosting,France,0,Normal business activity
TXN-00004,2024-06-01 19:00:00,ACC-100,79.23,Office Equipment,United Kingdom,0,Normal business activity
TXN-00005,2024-06-01 21:30:00,ACC-111,1107.18,Travel & Meals,United States,0,Normal business activity
TXN-00006,2024-06-02 00:00:00,ACC-100,319.65,Travel & Meals,France,0,Normal business activity
TXN-00007,2024-06-02 02:30:00,ACC-116,928.78,Cloud Hosting,United States,0,Normal business activity
TXN-00008,2024-06-02 05:00:00,ACC-106,1405.52,Travel & Meals,United Kingdom,0,Normal business activity
TXN-00009,2024-06-02 07:30:00,ACC-116,876.83,Contractor Payout,Germany,0,Normal business activity
TXN-00010,2024-06-02 10:00:00,ACC-114,290.21,Office Equipment,United Kingdom,0,Normal business activity
TXN-00011,2024-06-02 12:30:00,ACC-110,918.32,Cloud Hosting,United States,0,Normal business activity
TXN-00012,2024-06-02 15:00:00,ACC-106,312.76,Travel & Meals,United States,0,Normal business activity
TXN-00013,2024-06-02 17:30:00,ACC-117,1307.49,Software License,United Kingdom,0,Normal business activity
TXN-00014,2024-06-02 20:00:00,ACC-109,1395.64,Legal & Compliance,United Kingdom,0,Normal business activity
TXN-00015,2024-06-02 22:30:00,ACC-115,654.86,Legal & Compliance,United Kingdom,0,Normal business activity
TXN-00016,2024-06-03 01:00:00,ACC-112,1158.25,Legal & Compliance,Germany,0,Normal business activity
TXN-00017,2024-06-03 03:30:00,ACC-109,1457.47,Office Equipment,Germany,0,Normal business activity
TXN-00018,2024-06-03 06:00:00,ACC-104,939.34,Cloud Hosting,United Kingdom,0,Normal business activity
TXN-00019,2024-06-03 08:30:00,ACC-118,1241.66,Legal & Compliance,Germany,0,Normal business activity
TXN-00020,2024-06-03 11:00:00,ACC-112,614.21,Travel & Meals,United Kingdom,0,Normal business activity
TXN-00021,2024-06-03 13:30:00,ACC-112,549.71,Software License,Germany,0,Normal business activity
TXN-00022,2024-06-03 16:00:00,ACC-110,1109.97,Contractor Payout,United States,0,Normal business activity
TXN-00023,2024-06-03 18:30:00,ACC-120,1098.64,Office Equipment,United Kingdom,0,Normal business activity
TXN-00024,2024-06-03 21:00:00,ACC-105,1312.01,Software License,France,0,Normal business activity
TXN-00025,2024-06-03 23:30:00,ACC-119,901.46,Travel & Meals,United Kingdom,0,Normal business activity
TXN-00026,2024-06-04 02:00:00,ACC-112,972.47,Office Equipment,United Kingdom,0,Normal business activity
TXN-00027,2024-06-04 04:30:00,ACC-107,469.09,Office Equipment,France,0,Normal business activity
TXN-00028,2024-06-04 07:00:00,ACC-111,791.15,Contractor Payout,United Kingdom,0,Normal business activity
TXN-00029,2024-06-04 09:30:00,ACC-105,30.43,Office Equipment,United States,0,Normal business activity
TXN-00030,2024-06-04 12:00:00,ACC-104,1518.47,Contractor Payout,United States,0,Normal business activity
TXN-00031,2024-06-04 14:30:00,ACC-115,269.77,Legal & Compliance,United Kingdom,0,Normal business activity
TXN-00032,2024-06-04 17:00:00,ACC-106,1336.23,Cloud Hosting,United Kingdom,0,Normal business activity
TXN-00033,2024-06-04 19:30:00,ACC-109,745.0,Travel & Meals,France,0,Normal business activity
TXN-00034,2024-06-04 22:00:00,ACC-118,672.98,Office Equipment,Germany,0,Normal business activity
TXN-00035,2024-06-05 00:30:00,ACC-106,738.15,Contractor Payout,France,0,Normal business activity
TXN-00036,2024-06-05 03:00:00,ACC-100,592.27,Cloud Hosting,United States,0,Normal business activity
TXN-00037,2024-06-05 05:30:00,ACC-102,1001.31,Travel & Meals,Germany,0,Normal business activity
TXN-00038,2024-06-05 08:00:00,ACC-118,450.08,Travel & Meals,United States,0,Normal business activity
TXN-00039,2024-06-05 10:30:00,ACC-114,826.99,Contractor Payout,United Kingdom,0,Normal business activity
TXN-00040,2024-06-05 13:00:00,ACC-114,562.49,Office Equipment,France,0,Normal business activity
TXN-00041,2024-06-05 15:30:00,ACC-109,1153.42,Travel & Meals,Germany,0,Normal business activity
TXN-00042,2024-06-05 18:00:00,ACC-113,239.69,Cloud Hosting,United Kingdom,0,Normal business activity
TXN-00043,2024-06-05 20:30:00,ACC-119,107.3,Legal & Compliance,United States,0,Normal business activity
TXN-00044,2024-06-05 23:00:00,ACC-105,1051.54,Legal & Compliance,Germany,0,Normal business activity
TXN-00045,2024-06-06 01:30:00,ACC-103,1094.17,Travel & Meals,France,0,Normal business activity
TXN-00046,2024-06-06 04:00:00,ACC-105,763.28,Office Equipment,France,0,Normal business activity
TXN-00047,2024-06-06 06:30:00,ACC-117,1318.45,Office Equipment,France,0,Normal business activity
TXN-00048,2024-06-06 09:00:00,ACC-106,578.09,Travel & Meals,United States,0,Normal business activity
TXN-00049,2024-06-06 11:30:00,ACC-117,996.33,Software License,United Kingdom,0,Normal business activity
TXN-00050,2024-06-06 14:00:00,ACC-110,926.34,Travel & Meals,United States,0,Normal business activity
TXN-00051,2024-06-06 16:30:00,ACC-105,460.47,Office Equipment,United Kingdom,0,Normal business activity
TXN-00052,2024-06-06 19:00:00,ACC-102,835.15,Legal & Compliance,France,0,Normal business activity
TXN-00053,2024-06-06 21:30:00,ACC-114,832.51,Travel & Meals,United Kingdom,0,Normal business activity
TXN-00054,2024-06-07 00:00:00,ACC-112,161.45,Software License,United Kingdom,0,Normal business activity
TXN-00055,2024-06-07 02:30:00,ACC-108,1120.27,Software License,France,0,Normal business activity
TXN-00056,2024-06-07 05:00:00,ACC-114,695.02,Travel & Meals,United States,0,Normal business activity
TXN-00057,2024-06-07 07:30:00,ACC-102,74500.0,Software License,Germany,1,Sudden extreme transaction amount (Z-Score > 8.5) outside business hours
TXN-00058,2024-06-07 10:00:00,ACC-107,1262.64,Legal & Compliance,United States,0,Normal business activity
TXN-00059,2024-06-07 12:30:00,ACC-105,1350.43,Cloud Hosting,United Kingdom,0,Normal business activity
TXN-00060,2024-06-07 15:00:00,ACC-119,731.46,Software License,United Kingdom,0,Normal business activity
TXN-00061,2024-06-07 17:30:00,ACC-112,1266.37,Cloud Hosting,United Kingdom,0,Normal business activity
TXN-00062,2024-06-07 20:00:00,ACC-100,1037.81,Legal & Compliance,United Kingdom,0,Normal business activity
TXN-00063,2024-06-07 22:30:00,ACC-106,1120.81,Legal & Compliance,United Kingdom,0,Normal business activity
TXN-00064,2024-06-08 01:00:00,ACC-117,631.24,Cloud Hosting,United States,0,Normal business activity
TXN-00065,2024-06-08 03:30:00,ACC-116,220.85,Legal & Compliance,France,0,Normal business activity
TXN-00066,2024-06-08 06:00:00,ACC-103,808.85,Travel & Meals,France,0,Normal business activity
